views,link,title
"337,876 views",https://www.youtube.com/watch?v=1sDnWKkui0Q,FÉRIAS
"949,064 views",https://www.youtube.com/watch?v=xnBWZLg9nqY,REVISÃO
"1,270,735 views",https://www.youtube.com/watch?v=p5pjxFR5iNs,CHAMANDO TÁXI
"1,260,051 views",https://www.youtube.com/watch?v=H9jaZK0Lxvs,SALDÃO
"1,294,290 views",https://www.youtube.com/watch?v=AdvGGXFparM,CONTATOS
"1,140,820 views",https://www.youtube.com/watch?v=QFt0ro5vKzc,PRISÃO A DOMICÍLIO
"1,264,523 views",https://www.youtube.com/watch?v=thAsYgngB2w,JORNAL
"1,254,413 views",https://www.youtube.com/watch?v=diGTCeHmVus,SAUDÁVEL
"1,459,020 views",https://www.youtube.com/watch?v=4QMP1-ZNpyI,DISTRAÇÃO
"1,603,900 views",https://www.youtube.com/watch?v=Do0iNTPAEzQ,ELE ESTÁ NO MEIO DE NÓS
"1,226,135 views",https://www.youtube.com/watch?v=VP20IU4Hl_c,IOGA BRASILEIRA
"1,673,902 views",https://www.youtube.com/watch?v=BFcDH-tmK68,BOX
"1,405,855 views",https://www.youtube.com/watch?v=nDBwsV0EObI,RECONHECIMENTO
"1,791,808 views",https://www.youtube.com/watch?v=JO4sPVVnZ1I,CLASH
"1,437,116 views",https://www.youtube.com/watch?v=E_-E71FgBQ4,EXISTE?
"1,204,764 views",https://www.youtube.com/watch?v=peCEQDjLtYk,GABINETE PRESIDENCIAL
"1,673,308 views",https://www.youtube.com/watch?v=0MIsjCMGOEE,CUIDA DA MINHA VIDA
"1,903,429 views",https://www.youtube.com/watch?v=XDZH4eRR6dg,BEIJO GAY
"1,919,197 views",https://www.youtube.com/watch?v=dazEM2ndnY4,DOMINGO
"1,499,453 views",https://www.youtube.com/watch?v=lDqOXpFdQY0,GAGÁ
"2,132,627 views",https://www.youtube.com/watch?v=NBJU4fKy9EA,UBER COLLECTIVE
"2,092,062 views",https://www.youtube.com/watch?v=N73NCTbSza4,POLÍCIA
"1,764,103 views",https://www.youtube.com/watch?v=f0oNCttpjKY,SAUDADE
"1,886,737 views",https://www.youtube.com/watch?v=3Pdvd8xNyuc,PELO AMOR DE DEUS
"1,413,664 views",https://www.youtube.com/watch?v=xIhrkqOgmlk,LASSIE
"1,489,940 views",https://www.youtube.com/watch?v=x81FBIzCOd4,ETIQUETA PÓS-LAVA JATO
"1,181,601 views",https://www.youtube.com/watch?v=gNVBvNv6kkU,NAME DROPPING
"1,758,650 views",https://www.youtube.com/watch?v=_tzvACTiyfw,CENTRÃO
"2,621,731 views",https://www.youtube.com/watch?v=hrfl8_GqpY0,INFLUENCER
"2,607,394 views",https://www.youtube.com/watch?v=SryQ0OZJPiM,PORTA DE COLÉGIO
title,link,views
Vini cantando na casa da vovó,https://www.youtube.com/watch?v=y1oQiFUNvvw,2 views
vini faz joinha,https://www.youtube.com/watch?v=uLCfoWF57v8,1 view
vini palma palma pé pé,https://www.youtube.com/watch?v=zzv6o7umDBY,6 views
Vinícius de indiozinho 2,https://www.youtube.com/watch?v=D1I53fUUW64,7 views
Vinicius pulando na cama,https://www.youtube.com/watch?v=OdZIFggE2H4,9 views
Vinicius camuflando,https://www.youtube.com/watch?v=JssHNhYGbnk,1 view
Vinícius com os ovos de páscoa,https://www.youtube.com/watch?v=jY10TDuOVjc,4 views
Vini hoje eh sábado...,https://www.youtube.com/watch?v=XaYpAIdbhdk,1 view
Vinicius de indiozinho,https://www.youtube.com/watch?v=hpxGy-cUxhg,6 views
Vivo no aniversário da sara 2,https://www.youtube.com/watch?v=1QQ7hC_ax6I,13 views
Vini   Engatinhando,https://www.youtube.com/watch?v=ifyltskLIPA,22 views
the party so crazy,https://www.youtube.com/watch?v=fRtZ0ix9s1c,17 views
avião de papel5,https://www.youtube.com/watch?v=l_rCVE8lUhE,26 views
avião de papel4,https://www.youtube.com/watch?v=JtWf7M8Tjng,19 views
avião de papel3,https://www.youtube.com/watch?v=EZmQZR7aKno,21 views
avião de papel2,https://www.youtube.com/watch?v=BX99TSS2YbQ,86 views
avião de papel,https://www.youtube.com/watch?v=1KaT7Ry1-0c,107 views
Lifehouse - Somewhere Only We Know Live,https://www.youtube.com/watch?v=QTvg6rwQO64,465 views
